Marque;Pat;NBV;PM;CA;%CA;%UC;%NBV;Age_marque;Prime_marque;%UC_marque;pct_nbv
GMF;Confirme;21830155,14;10077661218;538722456,6;0,577419464;0,121114082;0,040522081;64;17;10%;4,1
MAAF;Confirme;20161592,31;5975692569;331444490,1;0,637526171;0,27727192;0,060829469;58;13;21%;6,1
MMA Agents;Confirme;14134317,61;5372213626;330556274,2;0,678404665;0,212792747;0,042759187;57;19;19%;4,3
MMA CAP;Confirme;8030985,544;2364393226;139796352,4;0,945526606;0,43941508;0,057447747;54;12;41%;5,7
MMA Courtage;Confirme;14876559,03;6718631602;470095789,3;1;0,376673836;0,031667363;53;40;38%;3,2
MMA;Confirme;37042978,06;14460214582;940806042,5;0,85016485;0,327850644;0,039373661;59;23;30%;3,9
DAV;Confirme;79034725,51;30513568369;1810972989;0,707552157;0,257094388;0,043642134;60;17;24%;4,4
GMF;Grand Public;7733500,977;4741126574;296559039,9;0,317861191;0,067400607;0,026077441;64;17;10%;2,6
MAAF;Grand Public;3523397,058;2113539744;140870791,8;0,270961863;0,128671307;0,025011551;58;13;21%;2,5
MMA Agents;Grand Public;3829369,838;2213300348;144488760,8;0,296536042;0,149167883;0,026502891;57;19;19%;2,7
MMA CAP;Grand Public;121223,9468;81162692,52;8053905,403;0,054473394;0,009473243;0,015051573;54;12;41%;1,5
MMA Courtage;Grand Public;0;0;0;0;0;0;53;40;38%;0,0
MMA;Grand Public;3973932,415;2304552605;153599704,1;0,138801266;0,140938612;0,025872006;59;23;30%;2,6
DAV;Grand Public;15230830,45;9159218923;591029535,8;0,230916875;0,101115788;0,025769999;60;17;24%;2,6
GMF;Potentiel;3062734,017;1645324429;97701352,59;0,104719345;0,119093006;0,031347918;64;17;10%;3,1
MAAF;Potentiel;1713874,765;721241199,8;47576301,1;0,091511966;0,227972075;0,036023708;58;13;21%;3,6
MMA Agents;Potentiel;364052,3925;167421195,4;12210273,43;0,025059293;0,27037903;0,029815253;57;19;19%;3,0
MMA CAP;Potentiel;0;0;0;0;0;0;54;12;41%;0,0
MMA Courtage;Potentiel;0;0;0;0;0;0;53;40;38%;0,0
MMA;Potentiel;364052,3925;167421195,4;12210273,43;0,011033885;0,27037903;0,029815253;59;23;30%;3,0
DAV;Potentiel;5140661,174;2533986825;157487927,1;0,061530969;0,163714249;0,032641621;60;17;24%;3,3
